T01	broccoli;carrot;garlic;banana;grapes
T02	brinjal;cucumber;avocado;onion;tomato
T03	broccoli;carrot;garlic;cucumber;avocado
T04	broccoli;garlic
T05	garlic;cucumber;avocado
T06	carrot;garlic;tomato;banana;grapes
T07	cucumber;avocado;onion;tomato
T08	brinjal;cucumber;broccoli;carrot
T09	carrot;garlic;banana
T10	avocado;onion;tomato
T11	brinjal;onion
T12	banana;grapes;brinjal
T13	carrot;garlic;banana;grapes;brinjal
T14	garlic;banana;grapes
T15	broccoli;garlic;grapes;cucumber;onion
T16	carrot;banana;brinjal;avocado;tomato
T17	garlic;grapes;cucumber;onion
T18	carrot;banana;brinjal
T19	avocado;tomato
T20	banana;brinjal
