T01	bandaid;comb;hairdye;basket;hairband
T02	bottle;crayons;axedeo;ink;paper
T03	bandaid;comb;hairdye
T04	bandaid;hairdye;axedeo
T05	hairdye;crayons;axedeo
T06	comb;hairdye;bottle;ink;paper
T07	crayons;axedeo;ink;paper
T08	bottle;crayons;bandaid;comb
T09	comb;hairdye;basket
T10	axedeo;ink;paper
T11	bottle;crayons;axedeo;ink
T12	basket;hairband;bottle
T13	comb;hairdye;basket;hairband;bottle
T14	hairdye;basket;hairband
T15	bandaid;hairdye
T16	comb;basket;bottle;axedeo;paper
T17	hairdye;hairband;crayons;ink
T18	comb;basket;bottle
T19	axedeo;paper
T20	basket;bottle
