T01	avatar;aviator;sherlock;twilight;frozen
T02	batman;godzilla;lincoln;oceans;superman
T03	avatar;aviator;sherlock;godzilla;lincoln
T04	avatar;aviator
T05	sherlock;godzilla;lincoln
T06	aviator;sherlock;batman
T07	godzilla;lincoln;oceans;superman
T08	batman;godzilla;avatar;aviator
T09	aviator;sherlock;twilight
T10	lincoln;oceans;superman
T11	batman;godzilla;lincoln;oceans
T12	twilight;batman;godzilla
T13	aviator;sherlock;twilight;frozen;batman
T14	sherlock;twilight;frozen
T15	avatar;sherlock;frozen;godzilla;oceans
T16	aviator;twilight;batman;superman
T17	sherlock;frozen;godzilla;oceans
T18	aviator;twilight;batman;oceans
T19	lincoln;superman
T20	twilight;batman
