T01	wheat;rice;tamarind;flour;oil
T02	horlicks;bournvita;noodles;chocolate;dhal
T03	wheat;rice;tamarind;bournvita;noodles
T04	wheat;rice
T05	tamarind;bournvita;noodles
T06	rice;tamarind;horlicks;chocolate;dhal;flour;oil
T07	bournvita;noodles;chocolate;dhal
T08	horlicks;bournvita;wheat;rice
T09	rice;tamarind;flour
T10	noodles;chocolate;dhal
T11	horlicks;bournvita;noodles;chocolate
T12	flour;oil;horlicks
T13	rice;tamarind;flour;oil;horlicks
T14	tamarind;flour;oil
T15	wheat;tamarind;oil;bournvita;chocolate
T16	rice;flour;horlicks;noodles;dhal
T17	tamarind;oil;bournvita;chocolate
T18	rice;flour;horlicks
T19	noodles;dhal
T20	flour;horlicks
